# =====================================================================
# Super Ace 轉輪帶還原表（初始滾停畫面用｜帶長 200）
# =====================================================================
# 產生日期   : 2026-08-13
# 資料來源   : JILI Super Ace 實機側錄 JSONL
#              BG = Combined_NoJP + BG_3 + BG_4（166,050 spins，初始盤面）
#              FG = 上述檔案 + feature_buy x2 的 FG 盤面（22,565 spins）
# 還原方法   : 4-格窗 de Bruijn 圖 + 最小成本流配平 + 補圈至 200 格
#              + Euler 迴圈組帶；逐格停輪權重 = 實測頻率 / 帶上重複數
#
# 符號對照   : M1=ACE(Symbol1)  M2=K(Symbol2)  M3=Q(Symbol3)  M4=J(Symbol4)
#              A=低分1(Symbol5) K=低分2(Symbol6) Q=低分3(Symbol7) J=低分4(Symbol8)
#              C1=Scatter(Bonus)
#
# 使用規則   :
#  1. 每輪帶長固定 200，循環帶。停輪位置 p 的盤面 = 帶上 p, p+1, p+2, p+3 四格。
#  2. 停輪權重（*_stopW）已正規化為平均 1.000。各輪獨立依權重抽停輪位置，
#     即可精確重現側錄資料各輪的初始窗格分布（含停輪加權效果；
#     輪與輪之間為獨立抽樣，與一般轉輪帶模型相同）。
#  3. 每個側錄中實際出現過的 4-格窗（RNG 停點）都在對應輪帶上，
#     權重 > 0 的格子皆為實測出現過的窗格，無虛構停點。
#  4. BG 需搭配【Scatter 抑制層】：盤面若將出現恰好 2 個 Scatter，
#     有 37.1% 機率將其中 1 個（不含 R1）換成一般符號。
#     被抑制後顯示的 63 種變體窗格不是輪帶停點（詳見文末
#     [BG_ScatterSuppression] 對照表），由抑制層動態產生。
#     FG 資料中無任何抑制痕跡，FG 不需此層。
#  5. 金框(Golden Card)與連消補牌不在輪帶內，為獨立圖層/權重表
#     （參照 轉輪帶還原_Super_Ace.md §8 §9）。
#  6. 帶上排列順序在統計上不唯一（同一窗格集合可有多種循環排列），
#     但盤面機率分布唯一，與 JILI 原版統計等價。
# =====================================================================

[BG]
Pos	R1	R2	R3	R4	R5	R1_stopW	R2_stopW	R3_stopW	R4_stopW	R5_stopW
97	M4	M2	M3	C1	J	1.1522	1.1877	1.1168	0.6647	1.1522
98	M2	M2	K	Q	M1	1.1434	1.3029	1.0813	0.5717	1.1345
99	J	K	M4	K	Q	1.1877	1.2940	1.3206	0.5850	1.1965
100	A	M4	Q	M4	M2	1.1700	1.0547	1.2409	0.6204	1.1168
101	Q	M2	M1	K	J	0.9661	1.2586	1.2497	1.0902	1.2586
102	Q	M1	A	K	M4	1.2852	1.2409	1.3118	1.2763	1.3295
103	M3	M3	J	M3	M3	1.2143	1.4004	0.7947	1.1700	1.3206
104	K	M4	M3	K	M3	1.1788	1.1256	1.3649	1.2763	1.2940
105	M2	A	M3	A	M3	0.9838	1.1522	1.2497	1.5333	1.2586
106	M1	K	Q	Q	K	1.0902	1.4713	0.7888	1.2763	1.3827
107	J	Q	Q	M2	M1	1.3472	1.2586	0.8154	0.9838	1.1788
108	M2	M4	Q	K	K	1.2231	1.2320	0.8006	1.3738	1.1256
109	M3	K	M2	Q	M3	1.1522	1.2940	0.5717	1.1877	1.1567
110	Q	M2	M3	Q	J	1.2054	1.1611	0.6160	1.0902	1.1434
111	J	K	J	A	A	1.3295	1.2320	0.8509	1.1079	0.6204
112	Q	M4	M2	M3	K	1.0370	1.3561	0.6647	1.3384	0.5495
113	J	A	J	M3	Q	1.0813	1.2409	0.6825	1.1434	0.5761
114	M3	M2	Q	M1	M3	1.1434	1.2320	0.7888	1.1877	0.6647
115	M3	K	Q	K	M3	1.1256	0.9750	0.8154	1.2852	0.5274
116	J	M2	Q	A	A	1.1434	1.2054	0.8006	1.2409	0.7859
117	J	Q	M2	C1	M2	0.5517	1.2497	0.5717	1.3206	0.8243
118	K	M4	M3	M2	M2	0.4402	1.2143	0.6160	1.2763	0.6027
119	A	M2	J	M4	M2	0.3339	1.1522	1.1611	1.3384	1.0370
120	M2	J	M2	J	M3	0.4018	1.1168	0.9306	1.1434	1.1168
121	K	M4	J	Q	M4	0.3841	1.1256	0.2464	1.2143	0.9572
122	M2	M4	J	Q	K	0.3516	1.0459	0.2464	1.1877	1.1434
123	J	J	J	Q	A	0.5517	1.1168	0.2464	1.1522	1.1965
124	K	M1	J	A	A	0.4402	1.1965	0.2464	1.2586	1.2497
125	A	Q	J	M3	A	0.3339	1.1345	0.2464	1.3738	1.0725
126	M2	M1	J	M4	M1	0.4018	1.2409	1.1079	1.1256	1.1965
127	K	K	J	K	Q	0.3841	1.1168	1.0547	1.2320	1.0902
128	M2	A	J	K	J	0.3516	0.6012	1.0370	1.0902	1.1611
129	J	M4	Q	K	M2	0.5517	0.8006	1.1965	1.0636	1.1700
130	K	M4	M3	M4	J	0.4402	0.6204	1.0016	1.1345	1.1611
131	A	M2	M2	Q	M4	0.3339	0.5938	1.1832	1.2852	1.1434
132	M2	M2	Q	J	K	0.4018	0.6204	0.6515	1.2763	1.2320
133	K	M2	Q	Q	K	0.3841	0.9063	0.6071	1.3118	1.2231
134	M2	A	J	K	K	0.3516	0.7563	0.7947	1.0636	1.2320
135	J	A	M3	M1	Q	1.1877	0.6027	0.7327	1.1965	1.2763
136	K	A	J	M4	M2	1.2586	0.6012	0.6825	1.0813	1.2409
137	A	M4	Q	J	C1	1.0370	0.8006	0.1458	1.2763	1.2143
138	M4	M4	Q	M1	M4	1.0813	1.1611	0.1458	1.1877	1.0813
139	K	M2	Q	M4	Q	0.9572	1.2497	0.1458	1.0281	1.2054
140	K	M2	Q	M3	Q	1.2940	1.1788	0.1458	1.2320	1.0016
141	M3	M4	Q	J	K	1.1877	0.4520	0.1458	1.1256	1.0016
142	M2	M2	Q	M2	A	1.1700	0.3870	0.1458	1.3029	1.0990
143	M1	A	Q	M3	M4	1.1434	0.6012	0.1458	1.1522	1.0902
144	Q	M4	Q	Q	M3	1.1788	0.4107	0.1458	1.0636	1.2497
145	K	M4	Q	Q	M2	1.2231	0.4520	0.1458	1.1079	1.2852
146	A	M2	Q	M2	Q	1.2231	0.3870	0.7888	1.0016	0.5185
147	A	A	Q	M4	Q	0.9395	0.6012	0.8154	1.2497	0.6160
148	M3	M4	Q	A	Q	1.3029	0.4107	1.1168	1.3649	0.5673
149	M2	M4	M2	M1	M3	1.1611	0.4520	1.3118	1.0281	0.6116
150	J	M2	M3	K	J	1.2409	1.1079	1.3827	1.2674	0.6337
151	J	A	M1	M3	J	1.2409	1.2054	1.2940	1.2763	0.6470
152	A	M4	M4	M1	J	1.1965	1.2054	1.0459	1.0193	0.6160
153	M1	A	Q	M3	M4	1.0370	0.9129	1.0902	1.1611	0.6027
154	M3	M3	A	M4	K	1.0370	1.2586	1.2497	1.2320	0.6692
155	M3	A	K	A	M2	1.2143	1.3472	1.1522	1.0902	0.5096
156	J	M4	M1	K	M1	1.0769	1.3206	1.2497	1.1877	0.6647
157	A	M2	M3	Q	Q	1.0990	1.1877	1.3915	1.4270	0.5185
158	A	M3	Q	J	Q	1.3118	1.3295	1.0459	1.0193	0.6160
159	M4	A	M3	M4	Q	1.0813	0.9927	1.0813	1.2143	0.5673
160	M3	A	K	K	M3	1.0725	1.1434	1.0459	1.0990	0.6116
161	K	Q	M2	J	J	1.3827	1.2852	1.2054	1.1700	0.6337
162	A	M4	M2	M3	J	1.1611	1.1434	1.1522	0.8863	0.6470
163	J	K	M2	M3	J	1.0636	1.1079	0.9484	1.0636	0.6160
164	Q	M4	J	K	M4	1.1611	1.1611	1.2143	1.1877	0.6027
165	M3	A	A	Q	K	1.0104	1.2586	1.0547	1.2054	0.6692
166	M3	M3	Q	J	M2	1.3118	1.0902	1.1700	1.2586	0.5096
167	J	C1	M3	Q	M1	1.2320	1.0902	1.0547	0.9927	0.6647
168	Q	M4	K	M4	Q	1.1079	1.1345	1.0370	1.2852	1.3029
169	M2	A	K	A	Q	1.1877	0.3634	1.2674	1.3295	0.9750
170	K	A	A	Q	Q	1.2674	0.3929	0.9661	1.1611	1.2763
171	K	M2	M4	M1	J	1.1877	0.9063	1.3472	1.1522	1.2940
172	K	A	Q	K	M1	1.1788	0.7563	1.1965	1.1434	1.0813
173	M4	A	Q	M2	A	1.2940	0.6027	1.1611	1.1522	0.7859
174	M1	A	M3	Q	M2	1.1877	0.6012	1.1256	1.1700	0.8243
175	Q	M4	M2	M1	M2	1.0813	0.4107	1.2674	1.3206	1.2320
176	A	M4	A	J	M2	1.2940	1.0016	1.4004	1.1965	1.2143
177	M2	M2	M2	Q	M3	1.1611	0.9063	1.1832	1.3915	1.1168
178	M3	A	Q	K	A	0.9661	1.0281	0.6515	1.3118	1.2143
179	K	A	Q	M2	C1	1.1256	0.3634	0.6071	1.2940	1.3384
180	J	A	J	J	M2	1.0547	0.3929	0.7947	1.4004	0.9218
181	J	M2	M3	K	A	1.0990	0.3479	0.7327	0.6293	1.2320
182	A	A	J	M4	A	1.0902	0.3634	0.5938	0.6116	0.6204
183	A	A	Q	M4	K	1.2320	0.3929	1.1522	1.2409	0.5495
184	K	M2	Q	Q	Q	1.3295	0.3479	0.5717	1.1256	0.5229
185	M1	A	J	Q	M3	1.1965	0.5894	1.1965	1.0990	0.5717
186	J	A	J	J	M3	1.0813	0.5717	0.7947	1.2054	0.5761
187	M3	M2	M3	K	J	1.0016	0.5938	0.7327	1.3029	0.5096
188	M2	M2	J	M4	Q	0.9838	0.6204	0.5938	1.1700	0.6647
189	M4	M2	Q	K	J	1.0902	0.3479	1.0902	1.1965	0.5717
190	M4	A	Q	M2	A	1.1168	0.5894	1.2763	1.2940	0.5673
191	M3	A	J	K	J	1.2143	0.5717	1.2054	1.1611	0.6116
192	K	M2	Q	K	M3	1.1345	0.5938	1.1788	1.1256	0.6825
193	M2	M2	J	Q	Q	1.1079	0.6204	1.2231	1.0636	0.5229
194	M1	M2	M3	K	M3	1.0902	0.3479	1.1522	1.1611	0.5717
195	Q	A	Q	K	M3	1.1611	1.2054	1.1522	1.1611	0.5761
196	M2	A	Q	K	J	1.0104	1.1788	0.5717	1.2320	0.5096
197	A	M2	J	Q	Q	1.1434	1.1434	0.7297	1.1522	0.6647
198	J	M4	J	K	J	1.3561	1.0990	1.1256	1.2674	0.5717
199	K	A	M3	Q	A	1.2674	1.2054	0.9661	1.1345	0.5673

[BG_SymbolCount]
Code	R1	R2	R3	R4	R5
C1	4	4	4	4	6
M1	14	11	11	10	14
M2	28	38	17	13	24
M3	18	14	34	14	28
M4	19	44	14	43	15
A	33	51	17	10	31
K	33	14	12	54	26
Q	18	14	43	38	30
J	33	10	48	14	26
Total	200	200	200	200	200

[FG_SymbolCount]
Code	R1	R2	R3	R4	R5
C1	2	3	2	3	3
M1	14	11	11	10	15
M2	28	40	18	13	24
M3	18	13	34	15	30
M4	17	43	14	44	14
A	33	52	17	10	29
K	37	14	12	52	24
Q	18	14	48	39	31
J	33	10	44	14	30
Total	200	200	200	200	200

[BG_ScatterSuppression]
# 抑制層對照表：實測顯示過的變體窗格（非輪帶停點）與其輪帶上的原始窗格
# DisplayWindow = 抑制後顯示的 4 格（上->下）；OriginalWindow = 輪帶上的真實停點窗格
Reel	DisplayWindow	ObsCount	ScatterRow	OriginalWindow
R2	M4/M1/M1/M4	40	1	M4/C1/M1/M4
R2	M4/M1/M4/M4	39	0	C1/M1/M4/M4
R2	Q/J/J/K	35	2	Q/J/C1/K
R2	M2/A/A/Q	33	2	M2/A/C1/Q
R2	M4/M2/M3/M4	32	0	C1/M2/M3/M4
R2	K/M4/M4/M1	31	2	K/M4/C1/M1
R2	M2/M2/A/M2	30	3	M2/M2/A/C1
R2	Q/Q/M2/Q	29	0	C1/Q/M2/Q
R2	A/Q/Q/M2	27	1	A/C1/Q/M2
R2	A/Q/J/A	23	3	A/Q/J/C1
R2	M1/K/A/M1	21	0	C1/K/A/M1
R2	J/K/K/A	20	1	J/C1/K/A
R2	M3/M2/M2/M3	18	1	M3/C1/M2/M3
R2	A/M3/M3/M2	13	2	A/M3/C1/M2
R3	M3/J/J/Q	75	1	M3/C1/J/Q
R3	Q/J/Q/Q	73	0	C1/J/Q/Q
R3	J/M3/M3/J	68	2	J/M3/C1/J
R3	K/M1/K/K	66	3	K/M1/K/C1
R3	J/J/M3/J	63	3	J/J/M3/C1
R3	M4/A/A/M4	53	2	M4/A/C1/M4
R3	K/M4/Q/K	52	3	K/M4/Q/C1
R3	M4/Q/Q/M1	49	2	M4/Q/C1/M1
R3	M4/M4/A/M4	47	3	M4/M4/A/C1
R3	M3/M2/M3/M3	47	0	C1/M2/M3/M3
R3	J/M1/A/J	46	0	C1/M1/A/J
R3	Q/M1/M1/A	41	1	Q/C1/M1/A
R3	K/M2/M2/M3	41	1	K/C1/M2/M3
R3	M2/M4/M3/M2	39	0	C1/M4/M3/M2
R3	M1/K/K/M2	37	2	M1/K/C1/M2
R4	M3/Q/Q/K	88	1	M3/C1/Q/K
R4	M4/Q/K/M4	86	0	C1/Q/K/M4
R4	M1/K/A/M1	86	3	M1/K/A/C1
R4	K/A/A/M2	81	2	K/A/C1/M2
R4	Q/K/K/M4	81	2	Q/K/C1/M4
R4	K/M3/M3/Q	80	2	K/M3/C1/Q
R4	K/M4/K/K	80	0	C1/M4/K/K
R4	K/K/M4/K	80	0	C1/K/M4/K
R4	J/M2/M4/J	77	0	C1/M2/M4/J
R4	Q/Q/K/Q	77	3	Q/Q/K/C1
R4	J/K/K/M4	77	1	J/C1/K/M4
R4	Q/Q/J/Q	73	3	Q/Q/J/C1
R4	Q/J/J/K	70	2	Q/J/C1/K
R4	A/M2/M2/M4	68	1	A/C1/M2/M4
R5	K/J/A/K	118	0	C1/J/A/K
R5	K/Q/M2/K	117	3	K/Q/M2/C1
R5	M2/M4/M4/Q	116	1	M2/C1/M4/Q
R5	M2/M3/M3/J	109	2	M2/M3/C1/J
R5	Q/Q/Q/Q	109	0	C1/Q/Q/Q
R5	Q/M4/Q/Q	107	0	C1/M4/Q/Q
R5	Q/K/K/J	107	2	Q/K/C1/J
R5	Q/J/M3/Q	105	0	C1/J/M3/Q
R5	K/M2/M1/K	103	3	K/M2/M1/C1
R5	Q/M3/M3/Q	102	3	Q/M3/M3/C1
R5	M3/A/A/M2	101	1	M3/C1/A/M2
R5	M1/M2/M3/M1	100	3	M1/M2/M3/C1
R5	M2/A/M2/M2	98	0	C1/A/M2/M2
R5	M3/M3/M3/A	98	2	M3/M3/C1/A
R5	J/Q/K/J	97	3	J/Q/K/C1
R5	M1/Q/Q/Q	96	1	M1/C1/Q/Q
R5	M3/J/J/A	94	1	M3/C1/J/A
R5	K/J/J/M3	91	1	K/C1/J/M3
R5	Q/M2/M2/M4	88	2	Q/M2/C1/M4
R5	M2/M1/M1/Q	87	2	M2/M1/C1/Q
# 合計 63 種變體、4335 筆 spin（= 還原報告 §7 的 4,335 筆）
